ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID
128787	Jamsay_Dogon	ash	dɔ̀j.nɔ́	646.0
129959	Tengou-Togo_Dogon	ash	do.owɛ.n	646.0
131526	Tommo_So_Dogon	ash	ʔun.dɔʔ	646.0
131682	Tommo_So_Dogon	ash	un.dɔ	646.0
132467	Nanga	ash	dùjá	646.0
134150	Tommo_So_Dogon	ash	ʔun.dɔ	646.0
141162	Nanga	ash	dùjá	646.0
143660	Mombo_Dogon	ash	dwɛ	646.0
144074	Mombo_Dogon	ash	njàlànjàlà	646.0
145773	Mombo_Dogon	ash	dweid.ʒ	646.0
147060	Donno_So_Dogon	ash	ʔuŋdɔ	646.0
147798	Mombo_Dogon	ash	d	646.0
148074	Ampari_Dogon	ash	d.u	646.0
148839	Donno_So_Dogon	ash	un.do	646.0
148925	Ampari_Dogon	ash	d	646.0
149711	Ampari_Dogon	ash	doj	646.0
150515	Toro_Tegu_Dogon	ash	do.ozu	646.0
152137	Toro_Tegu_Dogon	ash	dunzu	646.0
152138	Toro_Tegu_Dogon	ash	dòw.nòsú	646.0
159327	Tomo_Kan_Dogon	ash	du.ɛ.n	646.0
159439	Tomo_Kan_Dogon	ash	d.jɛ.n	646.0
159708	Ampari_Dogon	ash	dɛ	646.0
159793	Mombo_Dogon	ash	do.eɛ	646.0
160792	Toro_Tegu_Dogon	ash	dòw.nòsú	646.0
161428	Tiranige_Diga_Dogon	ash	dwɛ́.ɛ́	646.0
162033	Dogul_Dom_Dogon	ash	dɔ̀.ɔ́	646.0
162938	Donno_So_Dogon	ash	ún.dɔ̀	646.0
1532	Guru_(Mali)	ask	úsúrú	1309.0
5189	Bankan_Tey_Dogon	ask	úsí	1309.0
5191	Bankan_Tey_Dogon	ask	ɡɔ̀.ɔ́	1309.0
5803	Togo_Kan	ask	úɲùr.nì	1309.0
5810	Togo_Kan	ask	dúr.nú	1309.0
5811	Togo_Kan	ask	tɔ̀ɡú#dùr.nú	1309.0
5817	Togo_Kan	ask	úɲɔ́r.nɔ́	1309.0
5818	Togo_Kan	ask	úɲùr.nù	1309.0
12796	Togo_Kan	ask	ɡɛ̀ŋɛ́	1309.0
13585	Toro_Tegu_Dogon	ask	úsó	1309.0
13586	Toro_Tegu_Dogon	ask	úsú	1309.0
20928	Donno_So_Dogon	ask	túbɔ̀	1309.0
20929	Donno_So_Dogon	ask	tùbɔ́#kún.dò	1309.0
20944	Donno_So_Dogon	ask	túb-ɛ̀	1309.0
25446	Toro_Tegu_Dogon	ask	úsó	1309.0
25447	Toro_Tegu_Dogon	ask	úsú	1309.0
25450	Toro_Tegu_Dogon	ask	ɡɔ̀.ɔ́	1309.0
25451	Toro_Tegu_Dogon	ask	ɡɔ̀wɔ́	1309.0
25452	Toro_Tegu_Dogon	ask	ɡɔ̌w	1309.0
25453	Toro_Tegu_Dogon	ask	úsó	1309.0
25454	Toro_Tegu_Dogon	ask	úsú	1309.0
26072	Penange	ask	sàrù#sáré	1309.0
26073	Penange	ask	sáré	1309.0
30909	Mombo_Dogon	ask	sàrù#sáré	1309.0
30911	Mombo_Dogon	ask	á.áŋ.ɡálí#sá.árè	1309.0
30912	Mombo_Dogon	ask	sáré	1309.0
35573	Mombo_Dogon	ask	ábá.án.dù	1309.0
36023	Mombo_Dogon	ask	sáré	1309.0
36625	Jamsay_Dogon	ask	úd.ʒúró	1309.0
