ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
83437	Yanda_Dom_Dogon	pound	tóló-lì	354.0	1	A	T	22	22.T.C	2.0	tóló-lì	1	9420	tóló-lì
83438	Yanda_Dom_Dogon	pound	tóló	354.0	1	A	T	22	22.T.C	2.0	tóló	1	9420	tóló
83883	Yanda_Dom_Dogon	pound	nòm.bó-lì	354.0	4	A	N	22	22.N.C	2.0	nòm.bó-lì	1	9493	nòm.bó-lì
83884	Yanda_Dom_Dogon	pound	nòm.bó	354.0	4	A	N	22	22.N.C	2.0	nòm.bó	1	9493	nòm.bó
83885	Yanda_Dom_Dogon	pound	zàŋà-lí	354.0	3	A	S	22	22.S.C	2.0	zàŋà-lí	1	9446	zàŋà-lí
83886	Yanda_Dom_Dogon	pound	zǎŋ	354.0	3	A	S	22	22.S.C	2.0	zǎŋ	1	9446	zǎŋ
87921	Tommo_So_Dogon	pound	dɔ́.ɔ́#dɔ̀.ɔ́	354.0	1	A	T	19	19.T.C	2.0	dɔ́.ɔ́#dɔ̀.ɔ́	0	9420	dɔ́.ɔ́#dɔ̀.ɔ́
88435	Dogul_Dom_Dogon	pound	d.ʒùbré	354.0	1	A	T	6	6.T.C	2.0	d.ʒùbré	0	9420	d.ʒùbré
89886	Dogul_Dom_Dogon	pound	d.ʒàŋ.ɡé	354.0	1	A	T	6	6.T.C	2.0	d.ʒàŋ.ɡé	1	9420	d.ʒàŋ.ɡé
89888	Dogul_Dom_Dogon	pound	d.ʒàŋ.ɡé	354.0	1	A	T	6	6.T.C	2.0	d.ʒàŋ.ɡé	1	9420	d.ʒàŋ.ɡé
89893	Dogul_Dom_Dogon	pound	sɔ́ɡɛ̀	354.0	3	A	S	6	6.S.C	2.0	sɔ́ɡɛ̀	0	9446	sɔ́ɡɛ̀
89894	Dogul_Dom_Dogon	pound	sɔ́ɡɛ̀	354.0	3	A	S	6	6.S.C	2.0	sɔ́ɡɛ̀	1	9446	sɔ́ɡɛ̀
89895	Dogul_Dom_Dogon	pound	d.ʒàŋ.ɡé	354.0	1	A	T	6	6.T.C	2.0	d.ʒàŋ.ɡé	1	9420	d.ʒàŋ.ɡé
89896	Dogul_Dom_Dogon	pound	tán.d.ʒè	354.0	1	A	T	6	6.T.C	2.0	tán.d.ʒè	0	9420	tán.d.ʒè
89897	Dogul_Dom_Dogon	pound	dòŋ.ɡé	354.0	1	A	T	6	6.T.C	2.0	dòŋ.ɡé	1	9420	dòŋ.ɡé
93447	Tebul_Ure_Dogon	pound	pédé	354.0	1	A	P	15	15.P.C	2.0	pédé	0	9485	pédé
93448	Tebul_Ure_Dogon	pound	tó.ó	354.0	1	A	T	15	15.T.C	2.0	tó.ó	1	9420	tó.ó
93449	Tebul_Ure_Dogon	pound	tó.ó	354.0	1	A	T	15	15.T.C	2.0	tó.ó	1	9420	tó.ó
93450	Tebul_Ure_Dogon	pound	nóm.bó	354.0	4	A	N	15	15.N.C	2.0	nóm.bó	0	9493	nóm.bó
93451	Tebul_Ure_Dogon	pound	sɔ́ɡɔ́	354.0	3	A	S	15	15.S.C	2.0	sɔ́ɡɔ́	1	9446	sɔ́ɡɔ́
93452	Tebul_Ure_Dogon	pound	pó.ódú	354.0	1	A	P	15	15.P.C	2.0	pó.ódú	0	9485	pó.ódú
93464	Tebul_Ure_Dogon	pound	tó.ó	354.0	1	A	T	15	15.T.C	2.0	tó.ó	1	9420	tó.ó
93465	Tebul_Ure_Dogon	pound	tó.ó	354.0	1	A	T	15	15.T.C	2.0	tó.ó	1	9420	tó.ó
93466	Tebul_Ure_Dogon	pound	nóm.bó	354.0	4	A	N	15	15.N.C	2.0	nóm.bó	1	9493	nóm.bó
93592	Tebul_Ure_Dogon	pound	zàŋ.ɡí	354.0	3	A	S	15	15.S.C	2.0	zàŋ.ɡí	0	9446	zàŋ.ɡí
96746	Jamsay_Dogon	pound	líɡé	354.0	5	A	L	9	9.L.C	2.0	líɡé	0	9431	líɡé
96976	Tommo_So_Dogon	pound	né.é-né.é#dɔ̀.ɔ́	354.0	4	A	N	19	19.N.C	2.0	né.é-né.é#dɔ̀.ɔ́	0	9493	né.é-né.é#dɔ̀.ɔ́
99699	Tiranige_Diga_Dogon	pound	d.ʒáŋ.ɡó	354.0	1	A	T	17	17.T.C	2.0	d.ʒáŋ.ɡó	0	9420	d.ʒáŋ.ɡó
99700	Tiranige_Diga_Dogon	pound	pɔ́ɡɔ́	354.0	1	A	P	17	17.P.C	2.0	pɔ́ɡɔ́	0	9485	pɔ́ɡɔ́
99788	Tiranige_Diga_Dogon	pound	bóbó	354.0	1	A	P	17	17.P.C	2.0	bóbó	0	9485	bóbó
99789	Tiranige_Diga_Dogon	pound	jò.òɡè#dɔ́.ɔ́	354.0	6	A	J	17	17.J.C	2.0	jò.òɡè#dɔ́.ɔ́	0	9494	jò.òɡè#dɔ́.ɔ́
99790	Tiranige_Diga_Dogon	pound	jò.òɡè#dɔ́.ɔ́	354.0	6	A	J	17	17.J.C	2.0	jò.òɡè#dɔ́.ɔ́	1	9494	jò.òɡè#dɔ́.ɔ́
99791	Tiranige_Diga_Dogon	pound	píd.ʒó	354.0	1	A	P	17	17.P.C	2.0	píd.ʒó	0	9485	píd.ʒó
99792	Tiranige_Diga_Dogon	pound	kà.àɡè#ɡóm	354.0	1	A	K	17	17.K.C	2.0	kà.àɡè#ɡóm	0	9590	kà.àɡè#ɡóm
99793	Tiranige_Diga_Dogon	pound	dɔ́.ɔ́	354.0	1	A	T	17	17.T.C	2.0	dɔ́.ɔ́	1	9420	dɔ́.ɔ́
99794	Tiranige_Diga_Dogon	pound	d.ʒáŋ.ɡó	354.0	1	A	T	17	17.T.C	2.0	d.ʒáŋ.ɡó	1	9420	d.ʒáŋ.ɡó
99795	Tiranige_Diga_Dogon	pound	sóɡúló	354.0	3	A	S	17	17.S.C	2.0	sóɡúló	0	9446	sóɡúló
102728	Nanga	pound	wǒj-wǒj#tóró	354.0	6	A	W	12	12.W.C	2.0	wǒj-wǒj#tóró	0	9429	wǒj-wǒj#tóró
103535	Nanga	pound	lóɡó	354.0	5	A	L	12	12.L.C	2.0	lóɡó	0	9431	lóɡó
104727	Nanga	pound	tòrî#tóró	354.0	1	A	T	12	12.T.C	2.0	tòrî#tóró	0	9420	tòrî#tóró
107552	Nanga	pound	lípɛ́	354.0	5	A	L	12	12.L.C	2.0	lípɛ́	0	9431	lípɛ́
107553	Nanga	pound	lóɡó	354.0	5	A	L	12	12.L.C	2.0	lóɡó	1	9431	lóɡó
107554	Nanga	pound	lóɡó	354.0	5	A	L	12	12.L.C	2.0	lóɡó	1	9431	lóɡó
107575	Nanga	pound	lóɡó	354.0	5	A	L	12	12.L.C	2.0	lóɡó	1	9431	lóɡó
107577	Nanga	pound	dùjɔ́	354.0	1	A	T	12	12.T.C	2.0	dùjɔ́	1	9420	dùjɔ́
107578	Nanga	pound	sóɡóró	354.0	3	A	S	12	12.S.C	2.0	sóɡóró	0	9446	sóɡóró
107579	Nanga	pound	d.ʒàŋí	354.0	1	A	T	12	12.T.C	2.0	d.ʒàŋí	0	9420	d.ʒàŋí
107580	Nanga	pound	pésé	354.0	1	A	P	12	12.P.C	2.0	pésé	0	9485	pésé
107581	Nanga	pound	tóró	354.0	1	A	T	12	12.T.C	2.0	tóró	0	9420	tóró
107582	Nanga	pound	tóró#mìj.nɛ́-n.dí	354.0	1	A	T	12	12.T.C	2.0	tóró#mìj.nɛ́-n.dí	0	9420	tóró#mìj.nɛ́-n.dí
107583	Nanga	pound	tóró	354.0	1	A	T	12	12.T.C	2.0	tóró	1	9420	tóró
107584	Nanga	pound	d.ʒàŋí	354.0	1	A	T	12	12.T.C	2.0	d.ʒàŋí	1	9420	d.ʒàŋí
107585	Nanga	pound	sɔ́ɡɔ́	354.0	3	A	S	12	12.S.C	2.0	sɔ́ɡɔ́	0	9446	sɔ́ɡɔ́
107835	Nanga	pound	d.ʒàŋí	354.0	1	A	T	12	12.T.C	2.0	d.ʒàŋí	1	9420	d.ʒàŋí
111385	Perge_Tegu	pound	lɛ̌j-lɛ̀j#tóró	354.0	5	A	L	14	14.L.C	2.0	lɛ̌j-lɛ̀j#tóró	0	9431	lɛ̌j-lɛ̀j#tóró
115075	Perge_Tegu	pound	d.ʒàŋ.ɡá	354.0	1	A	T	14	14.T.C	2.0	d.ʒàŋ.ɡá	0	9420	d.ʒàŋ.ɡá
115524	Perge_Tegu	pound	lóɡó	354.0	5	A	L	14	14.L.C	2.0	lóɡó	0	9431	lóɡó
115525	Perge_Tegu	pound	líppɛ́	354.0	5	A	L	14	14.L.C	2.0	líppɛ́	0	9431	líppɛ́
115543	Perge_Tegu	pound	d.ʒàŋ.ɡá	354.0	1	A	T	14	14.T.C	2.0	d.ʒàŋ.ɡá	1	9420	d.ʒàŋ.ɡá
115544	Perge_Tegu	pound	pésé	354.0	1	A	P	14	14.P.C	2.0	pésé	0	9485	pésé
115546	Perge_Tegu	pound	lóɡó	354.0	5	A	L	14	14.L.C	2.0	lóɡó	1	9431	lóɡó
