ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID
60769	Najamba	ask	sàrè	1309
60770	Najamba	ask	sár	1309
60772	Najamba	ask	sàrè	1309
60773	Najamba	ask	kàlà.á#sár	1309
64790	Ben_Tey_Dogon	ask	lémdé	1309
67766	Bankan_Tey_Dogon	ask	lém.bíré	1309
69549	Ben_Tey_Dogon	ask	tɔ̀ɡú#dùr.nó	1309
69551	Ben_Tey_Dogon	ask	úsúrú	1309
69553	Ben_Tey_Dogon	ask	ɡɔ̀wɔ́	1309
69554	Ben_Tey_Dogon	ask	úsúrú	1309
70110	Bunoge_Dogon	ask	ʔéd.ʒárè	1309
70112	Bunoge_Dogon	ask	ʔéd.ʒárù#ʔéd.ʒárè	1309
75353	Yanda_Dom_Dogon	ask	sádá-lì	1309
75354	Yanda_Dom_Dogon	ask	sádú	1309
75378	Yanda_Dom_Dogon	ask	dùnò-lí	1309
75379	Yanda_Dom_Dogon	ask	tɔ̀ɡù#dùnó	1309
75392	Yanda_Dom_Dogon	ask	sàdù#sádú	1309
79860	Tommo_So_Dogon	ask	báúrú#bàúrɔ́	1309
79861	Tommo_So_Dogon	ask	bó.órú	1309
79862	Tommo_So_Dogon	ask	ɡìj.nɛ́	1309
84119	Yanda_Dom_Dogon	ask	nèmílé-lì	1309
84120	Yanda_Dom_Dogon	ask	nèmílé	1309
88566	Dogul_Dom_Dogon	ask	túbɛ̀	1309
88567	Dogul_Dom_Dogon	ask	túbɛ̀	1309
89976	Dogul_Dom_Dogon	ask	ɡɛ̀ŋɛ́	1309
91275	Tebul_Ure_Dogon	ask	òrú-ɡó#ɔ́dírí	1309
91295	Tebul_Ure_Dogon	ask	ɔ́dír	1309
93644	Tebul_Ure_Dogon	ask	ném.bílí	1309
95637	Tommo_So_Dogon	ask	sán.d.ʒá-mɔ́	1309
95651	Tommo_So_Dogon	ask	sèlù-mú#sélé-mɔ́	1309
95653	Tommo_So_Dogon	ask	sélmé	1309
95688	Tommo_So_Dogon	ask	sélúmé	1309
101306	Tiranige_Diga_Dogon	ask	úd.ʒárí#úd.ʒáró	1309
101313	Tiranige_Diga_Dogon	ask	úd.ʒáró	1309
103290	Nanga	ask	táŋ.ɡí	1309
103291	Nanga	ask	úsí	1309
103310	Nanga	ask	tɔ̀ɡú#dùr.nó	1309
103313	Nanga	ask	úsí	1309
107901	Nanga	ask	ném.bíré	1309
107902	Nanga	ask	úsí	1309
112099	Perge_Tegu	ask	úsúró	1309
112101	Perge_Tegu	ask	sán.d.ʒá	1309
114863	Perge_Tegu	ask	úsúró	1309
118976	Jamsay_Dogon	ask	udʒura.ara	1309
119455	Ana_Tinga_Dogon	ask	sadule	1309
120036	Tebul_Ure_Dogon	ask	ɔduru	1309
121323	Yanda_Dom_Dogon	ask	sado	1309
122439	Bunoge_Dogon	ask	ed.ʒaru	1309
124553	Jamsay_Dogon	ask	úd.ʒúró	1309
128750	Jamsay_Dogon	ask	úd.ʒúró	1309
128751	Jamsay_Dogon	ask	ɡɔ̀wɔ́	1309
128753	Jamsay_Dogon	ask	úd.ʒúró	1309
128755	Jamsay_Dogon	ask	tɔ̀ɡú#dùr.nó	1309
129960	Tengou-Togo_Dogon	ask	uŋɔnɔ	1309
131683	Tommo_So_Dogon	ask	shelmu	1309
132468	Nanga	ask	úsí	1309
132469	Nanga	ask	táŋ.ɡí	1309
132471	Nanga	ask	úsí	1309
132473	Nanga	ask	tɔ̀ɡú#dùr.nó	1309
136719	Nanga	ask	úsí	1309
141105	Nanga	ask	tɔ̀ɡú#dùr.nó	1309
141132	Nanga	ask	úsí	1309
